ID Producto,Categoría,Sub-categoría,Nombre Producto,Coste Producción,ID Cliente,Nombre cliente,Segmento,País,Ciudad,Estado,Código Postal,Región,ID Pedido,Fecha compra,Fecha envío,Modo envío,Precio unitario,Cantidad,Volumen_Venta,Año_compra,Beneficio,Sueldo Mensual USD RPC
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,230.09815635051407,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,CA-2016-152156,2020-11-08,2020-11-11 05:00:00.000000000,Second Class,26196,2,52392,2020,52161.90184364949,6455
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,230.09815635051407,AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West,CA-2017-110198,2021-05-01,2021-05-02 00:00:00.000000000,First Class,314352,3,943056,2021,942825.9018436495,6455
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,230.09815635051407,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901.0,East,CA-2017-159793,2021-08-25,2021-08-29 00:00:00.000000000,Standard Class,13098,2,26196,2021,25965.901843649484,6455
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,230.09815635051407,HF-14995,Herbert Flentye,Consumer,Germany,,,,,CA-2016-117681,2020-04-09,2020-04-14 00:00:00.000000000,Standard Class,556665,5,2783325,2020,2783094.9018436493,3984
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",563.1027296955875,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,CA-2016-152156,2020-11-08,2020-11-11 00:00:00.000000000,Second Class,73194,3,219582,2020,219018.8972703044,6455
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",563.1027296955875,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,CA-2017-105823,2021-06-22,2021-06-26 00:00:00.000000000,Standard Class,48796,2,97592,2021,97028.89727030441,6455
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",563.1027296955875,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,CA-2016-114489,2020-12-05,2020-12-09 00:00:00.000000000,Standard Class,195184,8,1561472,2020,1560908.8972703044,6455
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",563.1027296955875,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045.0,West,CA-2017-108035,2021-11-29,2021-12-03 00:00:00.000000000,Standard Class,390368,2,780736,2021,780172.8972703044,6455
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",563.1027296955875,Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,77506.0,Central,CA-2016-120530,2020-04-07,2020-04-12 00:00:00.000000000,Standard Class,658746,3,1976238,2020,1975674.8972703044,6455
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",563.1027296955875,BD-11605,Brian Dahlen,Consumer,United States,Lawrence,Massachusetts,1841.0,East,CA-2016-105746,2020-12-30,2021-01-01 00:00:00.000000000,First Class,170786,1,170786,2020,170222.8972703044,6455
